order_id,customer_id,order_date,status,region_code
O0067,C0358,2025-01-24 09:16:39,PLACED,WEST
O0068,C0220,2025-07-14 11:16:06,CANCELLED,EAST
O0069,C0146,2025-10-26 00:09:46,RETURNED,SOUTH
O0070,C0249,2025-04-28 11:04:27,PLACED,NORTH
O0071,C0402,2025-08-03 12:03:51,PLACED,NORTH
O0072,C0081,2025-01-04 22:49:19,PLACED,WEST
O0073,C0353,2025-12-29 00:25:30,DELIVERED,SOUTH
O0074,C0449,2025-05-03 03:01:17,DELIVERED,EAST
O0075,C0341,2026-04-20 05:30:09,SHIPPED,NORTH
O0076,C0157,2025-02-24 10:11:54,SHIPPED,WEST
O0077,C0361,2024-12-13 13:35:57,SHIPPED,WEST
O0078,C0304,2024-11-07 22:56:12,CANCELLED,NORTH
O0079,UNKNOWN,2025-09-28 20:08:33,PLACED,WEST
O0080,C0245,2025-01-18 02:59:25,CANCELLED,NORTH
O0081,C0053,2024-10-16 02:44:10,DELIVERED,EAST
O0082,C0397,2025-02-17 08:29:09,SHIPPED,SOUTH
O0083,C0289,2025-01-23 09:53:27,SHIPPED,WEST
O0084,C0110,2025-06-15 21:19:10,SHIPPED,WEST
O0085,C0227,2025-05-09 09:19:56,PLACED,NORTH
O0086,C0064,2024-11-18 16:43:48,CANCELLED,EAST
O0087,C0162,2026-07-05 19:11:19,SHIPPED,EAST
O0088,C0128,2024-11-21 09:40:21,RETURNED,EAST
O0089,C0354,2026-03-15 16:27:31,DELIVERED,SOUTH
O0090,C0261,2024-12-11 04:03:42,CANCELLED,EAST
O0091,C0402,2025-08-04 02:34:37,SHIPPED,WEST
O0092,C0124,2026-08-01 09:34:43,RETURNED,NORTH
O0093,C0007,2026-04-16 14:57:50,DELIVERED,SOUTH
O0094,C0430,2025-08-16 19:47:09,DELIVERED,SOUTH
O0095,C0489,2026-01-12 12:23:08,PLACED,NORTH
O0096,C0008,2026-02-28 19:56:52,PLACED,NORTH
O0097,C0204,2025-03-11 07:55:22,RETURNED,WEST
O0098,C0206,2025-09-18 19:00:33,RETURNED,SOUTH
O0099,C0159,2025-09-22 22:52:12,SHIPPED,SOUTH
O0100,C0201,2025-05-22 04:27:31,PLACED,EAST
O0101,C0374,2025-12-21 14:08:21,SHIPPED,NORTH
O0102,C0474,2024-09-17 00:23:48,CANCELLED,NORTH
O0103,C0380,2026-03-21 15:20:07,SHIPPED,NORTH
O0104,UNKNOWN,2025-07-18 06:19:41,PLACED,SOUTH
O0105,C0178,2025-11-07 06:18:35,DELIVERED,SOUTH
O0106,C0384,2025-06-28 18:30:23,DELIVERED,NORTH
O0107,C0016,2025-04-05 14:54:20,CANCELLED,EAST
O0108,C0135,2025-04-24 20:04:50,RETURNED,NORTH
O0109,C0262,2025-09-17 11:39:20,CANCELLED,SOUTH
O0110,C0131,2026-06-15 20:31:10,RETURNED,NORTH
O0111,C0261,2025-02-08 10:00:01,PLACED,SOUTH
O0112,UNKNOWN,2024-08-18 15:36:40,SHIPPED,SOUTH
O0113,C0440,2024-10-31 17:20:42,CANCELLED,SOUTH
O0114,C0214,2026-04-29 18:09:26,DELIVERED,EAST
O0115,C0293,2026-07-08 16:45:54,RETURNED,NORTH
O0116,C0412,2024-12-27 11:54:21,PLACED,WEST
O0117,C0239,2025-09-28 20:10:22,DELIVERED,EAST
O0118,C0234,2025-11-21 08:07:12,SHIPPED,EAST
O0119,C0156,2024-12-09 15:47:55,SHIPPED,WEST
O0120,C0498,2026-02-25 03:52:20,SHIPPED,SOUTH
O0121,C0478,2025-04-20 13:28:08,SHIPPED,EAST
O0122,C0356,2025-12-08 21:57:41,DELIVERED,NORTH
O0123,C0193,2025-07-26 06:22:26,DELIVERED,NORTH
O0124,C0122,2026-01-24 04:17:27,PLACED,SOUTH
O0125,C0048,2026-05-16 00:28:36,SHIPPED,WEST
O0126,C0191,2025-05-09 12:37:17,PLACED,NORTH
O0127,C0327,2025-03-01 11:03:41,PLACED,NORTH
O0128,C0494,2025-11-08 14:44:33,DELIVERED,EAST
O0129,C0475,2024-11-17 23:16:45,DELIVERED,EAST
O0130,C0120,2024-12-04 13:43:17,SHIPPED,SOUTH
O0131,C0300,2026-03-17 04:22:37,PLACED,SOUTH
O0132,C0161,2025-04-07 14:47:51,RETURNED,EAST
O0133,C0107,2025-11-08 07:03:00,CANCELLED,EAST
O0134,C0047,2025-09-25 17:32:36,DELIVERED,NORTH
O0135,C0439,2026-04-16 06:23:19,PLACED,SOUTH
O0136,C0203,2024-09-25 06:38:16,DELIVERED,EAST
O0137,C0090,2024-11-30 11:57:54,CANCELLED,WEST
O0138,C0282,2025-01-17 20:52:30,CANCELLED,NORTH
O0139,C0072,2025-03-23 15:13:30,PLACED,SOUTH
O0140,C0422,2025-03-04 23:47:15,PLACED,EAST
O0141,C0039,2025-02-15 13:03:55,PLACED,SOUTH
O0142,C0228,2025-11-18 01:27:43,PLACED,EAST
O0143,C0483,2025-02-18 07:15:33,SHIPPED,WEST
O0144,C0203,2025-06-25 03:36:45,CANCELLED,WEST
O0145,C0110,2026-04-26 10:10:36,DELIVERED,EAST
O0146,C0077,2025-04-26 10:41:57,RETURNED,SOUTH
O0147,C0256,2025-10-06 21:27:48,RETURNED,WEST
O0148,C0144,2026-07-10 11:00:24,CANCELLED,SOUTH
O0149,C0409,2025-06-02 13:43:31,RETURNED,NORTH
O0150,C0401,2024-12-16 11:40:20,CANCELLED,WEST
O0151,C0290,2024-08-21 00:51:54,CANCELLED,EAST
O0152,C0164,2026-01-17 18:49:28,PLACED,EAST
O0153,C0242,2025-11-30 18:07:45,RETURNED,SOUTH
O0154,C0052,2026-06-22 03:09:49,SHIPPED,EAST
O0155,C0406,2025-12-29 00:08:59,PLACED,SOUTH
O0156,C0409,2024-10-01 15:31:27,SHIPPED,SOUTH
O0157,C0163,2024-12-04 02:03:42,DELIVERED,NORTH
O0158,C0181,2024-10-18 09:46:39,RETURNED,SOUTH
O0159,C0097,2024-09-19 18:14:43,CANCELLED,EAST
O0160,C0020,2026-05-08 00:39:22,SHIPPED,SOUTH
O0161,UNKNOWN,2025-09-08 18:44:41,DELIVERED,SOUTH
O0162,C0175,2024-08-23 10:05:05,DELIVERED,NORTH
O0163,UNKNOWN,2025-05-21 04:06:02,SHIPPED,NORTH
O0164,C0441,2026-02-13 23:25:01,PLACED,EAST
O0165,C0340,2024-10-03 23:23:16,PLACED,EAST
O0166,C0070,2025-02-11 21:03:17,CANCELLED,WEST
O0167,C0090,2024-11-25 14:03:48,RETURNED,EAST
O0168,C0302,2025-11-25 12:04:47,CANCELLED,EAST
O0169,C0151,2026-05-12 23:31:33,PLACED,WEST
O0170,C0395,2025-03-18 03:36:20,PLACED,SOUTH
O0171,C0472,2025-01-31 21:06:17,RETURNED,SOUTH
O0172,C0054,2025-02-27 17:53:32,SHIPPED,EAST
O0173,C0122,2025-11-04 19:01:35,DELIVERED,SOUTH
O0174,C0494,2024-11-08 01:21:18,DELIVERED,WEST
O0175,UNKNOWN,2026-04-08 16:21:32,PLACED,EAST
O0176,C0056,2024-08-25 00:45:57,PLACED,WEST
O0177,C0215,2025-12-01 20:53:33,CANCELLED,WEST
O0178,C0180,2026-04-24 15:26:27,PLACED,WEST
O0179,C0296,2025-03-29 17:08:28,SHIPPED,SOUTH
O0180,C0410,2025-07-17 23:35:02,DELIVERED,NORTH
O0181,C0488,2026-07-17 08:46:34,DELIVERED,SOUTH
O0182,C0083,2025-09-03 01:07:47,RETURNED,NORTH
O0183,C0315,2025-02-19 03:42:24,PLACED,WEST
O0184,C0085,2025-06-25 02:40:32,CANCELLED,SOUTH
O0185,C0170,2026-07-13 09:25:02,SHIPPED,WEST
O0186,C0370,2025-12-26 18:15:25,RETURNED,EAST
O0187,C0153,2024-12-11 11:35:21,PLACED,WEST
O0188,C0431,2025-10-14 16:25:37,PLACED,EAST
O0189,UNKNOWN,2025-11-08 03:05:24,RETURNED,WEST
O0190,C0014,2025-11-11 15:18:16,DELIVERED,NORTH
O0191,C0060,2025-09-20 03:22:23,CANCELLED,WEST
O0192,C0339,2025-08-21 12:54:49,RETURNED,WEST
O0193,C0454,2025-11-14 07:46:12,SHIPPED,WEST
O0194,UNKNOWN,2025-03-18 08:42:05,DELIVERED,SOUTH
O0195,C0289,2025-04-14 18:15:20,PLACED,NORTH
O0196,C0414,2025-09-02 09:04:12,RETURNED,SOUTH
O0197,C0431,2026-03-14 23:37:05,RETURNED,WEST
O0198,C0352,2025-06-22 22:21:02,CANCELLED,SOUTH
O0199,C0041,2025-04-28 08:36:19,PLACED,SOUTH
O0200,C0388,2025-02-09 22:40:48,SHIPPED,SOUTH
O0201,C0065,2025-03-13 21:57:44,PLACED,WEST
O0202,C0422,2024-08-04 05:29:12,RETURNED,EAST
O0203,C0373,2026-03-22 18:42:53,PLACED,NORTH
O0204,C0204,2026-04-15 13:39:30,DELIVERED,WEST
O0205,C0007,2025-04-12 08:41:35,RETURNED,WEST
O0206,C0077,2025-07-12 21:37:16,RETURNED,NORTH
O0207,C0289,2024-08-10 05:40:45,DELIVERED,EAST
O0208,C0136,2026-06-08 17:28:44,CANCELLED,WEST
O0209,UNKNOWN,2026-06-26 21:28:20,SHIPPED,WEST
O0210,UNKNOWN,2025-07-18 15:34:43,DELIVERED,SOUTH
O0211,UNKNOWN,2024-08-10 19:58:34,DELIVERED,EAST
O0212,UNKNOWN,2025-06-14 14:03:11,DELIVERED,EAST
O0213,C0252,2025-03-06 03:14:47,PLACED,SOUTH
O0214,C0499,2025-01-20 01:25:30,DELIVERED,EAST
O0215,C0310,2024-08-09 10:24:36,SHIPPED,WEST
O0216,C0422,2025-05-04 02:24:46,CANCELLED,EAST
O0217,C0264,2025-05-31 22:13:24,PLACED,EAST
O0218,C0207,2025-09-17 15:14:15,RETURNED,NORTH
O0219,C0449,2025-05-19 12:28:18,PLACED,SOUTH
O0220,UNKNOWN,2024-12-01 10:13:48,DELIVERED,SOUTH
O0221,C0422,2026-01-24 14:39:51,CANCELLED,NORTH
O0222,C0124,2025-05-15 20:18:32,RETURNED,WEST
O0223,C0446,2025-05-07 13:03:34,RETURNED,EAST
O0224,C0429,2025-02-12 06:18:42,PLACED,EAST
O0225,UNKNOWN,2025-06-08 14:21:57,RETURNED,SOUTH
O0226,C0332,2025-01-26 03:45:01,SHIPPED,EAST
O0227,C0263,2026-02-13 15:23:10,PLACED,WEST
O0228,C0332,2026-05-30 20:45:05,PLACED,SOUTH
O0229,C0413,2026-03-17 01:53:02,DELIVERED,WEST
O0230,C0437,2025-12-17 06:39:09,DELIVERED,SOUTH
O0231,C0347,2025-02-28 02:41:08,RETURNED,WEST
O0232,C0004,2026-01-28 20:30:19,DELIVERED,EAST
O0233,C0056,2026-03-17 23:30:46,DELIVERED,EAST
O0234,C0442,2025-06-01 18:42:01,DELIVERED,SOUTH
O0235,C0392,2026-04-19 14:42:17,PLACED,WEST
O0236,C0349,2024-12-15 09:44:34,PLACED,WEST
O0237,C0133,2025-03-03 16:54:48,CANCELLED,WEST
O0238,C0299,2025-11-12 09:33:54,RETURNED,SOUTH
O0239,C0366,2025-10-29 09:36:12,RETURNED,WEST
O0240,C0344,2025-02-18 22:47:33,DELIVERED,SOUTH
O0241,C0449,2025-11-02 01:41:17,DELIVERED,NORTH
O0242,C0380,2024-12-19 08:06:07,RETURNED,SOUTH
O0243,C0461,2024-08-18 07:53:54,PLACED,SOUTH
O0244,C0382,2024-09-09 09:59:36,CANCELLED,EAST
O0245,C0300,2025-08-29 22:43:05,PLACED,WEST
O0246,C0325,2024-12-17 23:38:11,RETURNED,NORTH
O0247,C0100,2024-10-17 20:52:38,CANCELLED,EAST
O0248,C0446,2025-02-16 19:16:03,SHIPPED,SOUTH
O0249,C0292,2026-01-08 14:20:23,CANCELLED,SOUTH
O0250,C0367,2026-01-17 07:09:35,PLACED,WEST
O0251,C0091,2025-01-21 05:23:22,PLACED,NORTH
O0252,C0108,2024-11-22 05:34:55,SHIPPED,SOUTH
O0253,C0391,2025-07-30 17:04:03,SHIPPED,WEST
O0254,C0207,2025-04-10 22:07:11,CANCELLED,WEST
O0255,UNKNOWN,2025-03-19 18:16:50,DELIVERED,NORTH
O0256,C0388,2026-03-11 03:39:28,SHIPPED,NORTH
O0257,C0321,2026-08-03 03:41:02,SHIPPED,EAST
O0258,C0053,2025-07-08 20:57:40,RETURNED,EAST
O0259,C0422,2026-03-05 06:44:45,DELIVERED,WEST
O0260,C0306,2025-04-02 09:37:42,CANCELLED,SOUTH
O0261,C0462,2026-04-12 08:30:59,SHIPPED,SOUTH
O0262,C0471,2026-06-30 07:38:03,PLACED,SOUTH
O0263,C0068,2024-09-14 02:18:18,PLACED,SOUTH
O0264,C0365,2026-02-21 18:14:32,PLACED,WEST
O0265,C0131,2024-09-25 07:20:59,RETURNED,NORTH
O0266,C0025,2025-07-13 14:15:19,PLACED,NORTH
O0267,C0214,2024-12-22 13:17:26,PLACED,EAST
O0268,C0079,2026-04-10 21:19:50,PLACED,EAST
O0269,C0052,2026-03-24 03:30:54,DELIVERED,SOUTH
O0270,C0461,2026-04-01 04:23:06,RETURNED,NORTH
O0271,C0402,2024-11-01 06:02:21,SHIPPED,SOUTH
O0272,C0426,2026-02-16 06:37:44,SHIPPED,EAST
O0273,C0152,2025-02-02 00:33:22,RETURNED,WEST
O0274,C0353,2026-02-18 12:37:12,DELIVERED,SOUTH
O0275,UNKNOWN,2025-06-23 17:38:47,PLACED,WEST
O0276,C0047,2026-01-24 23:27:00,PLACED,NORTH
O0277,C0330,2024-08-28 15:21:14,DELIVERED,EAST
O0278,C0052,2025-07-06 18:59:57,PLACED,EAST
O0279,C0347,2026-02-18 08:35:56,PLACED,NORTH
O0280,C0456,2025-08-19 20:13:43,SHIPPED,SOUTH
O0281,C0458,2026-07-22 13:51:05,RETURNED,EAST
O0282,C0048,2025-07-15 13:13:05,DELIVERED,SOUTH
O0283,C0205,2025-12-14 22:35:14,DELIVERED,WEST
O0284,C0245,2025-03-20 03:37:09,SHIPPED,NORTH
O0285,C0372,2025-03-28 03:39:23,SHIPPED,NORTH
O0286,C0303,2025-11-06 18:04:24,RETURNED,WEST
O0287,C0195,2024-09-03 23:27:03,RETURNED,NORTH
O0288,C0451,2026-06-19 22:16:53,SHIPPED,WEST
O0289,C0058,2025-08-19 16:29:48,CANCELLED,NORTH
O0290,C0336,2025-02-05 04:49:30,RETURNED,SOUTH
O0291,C0343,2025-11-13 14:05:38,RETURNED,NORTH
O0292,C0373,2024-12-27 07:47:42,DELIVERED,WEST
O0293,C0424,2026-05-14 11:26:05,RETURNED,NORTH
O0294,UNKNOWN,2026-04-27 01:05:57,RETURNED,WEST
O0295,C0446,2025-01-10 06:01:36,CANCELLED,EAST
O0296,C0497,2024-10-25 15:40:31,RETURNED,SOUTH
O0297,C0194,2025-11-09 11:43:26,SHIPPED,NORTH
O0298,C0411,2025-03-29 05:04:56,PLACED,WEST
O0299,C0061,2024-12-04 09:56:57,PLACED,NORTH
O0300,C0019,2025-02-21 20:19:16,PLACED,NORTH
O0301,C0494,2024-10-30 13:30:25,DELIVERED,SOUTH
O0302,C0234,2026-03-03 14:45:27,DELIVERED,NORTH
O0303,C0433,2024-08-10 16:25:18,RETURNED,WEST
O0304,C0187,2024-09-03 20:04:31,PLACED,NORTH
O0305,C0114,2026-02-27 11:22:46,DELIVERED,EAST
O0306,C0192,2025-07-17 08:05:06,PLACED,SOUTH
O0307,C0421,2025-10-13 16:22:31,CANCELLED,NORTH
O0308,C0101,2025-05-02 11:03:03,CANCELLED,SOUTH
O0309,C0401,2024-10-08 12:35:11,DELIVERED,NORTH
O0310,C0024,2024-11-27 08:33:41,RETURNED,NORTH
O0311,C0231,2024-10-09 22:16:33,RETURNED,SOUTH
O0312,C0003,2025-10-30 01:39:08,PLACED,WEST
O0313,C0248,2026-06-15 03:03:42,SHIPPED,SOUTH
O0314,C0066,2026-08-02 10:19:18,RETURNED,EAST
O0315,C0197,2025-11-03 19:23:15,RETURNED,SOUTH
O0316,C0494,2024-09-16 19:49:00,DELIVERED,WEST
O0317,C0071,2025-11-18 00:14:43,RETURNED,EAST
O0318,C0281,2025-12-29 11:12:57,RETURNED,SOUTH
O0319,C0320,2026-03-05 07:28:26,DELIVERED,SOUTH
O0320,C0333,2024-11-04 01:48:51,SHIPPED,EAST
O0321,C0390,2025-01-21 03:00:27,CANCELLED,WEST
O0322,C0458,2026-07-22 06:08:06,DELIVERED,WEST
O0323,C0268,2026-03-03 04:33:18,CANCELLED,SOUTH
O0324,C0029,2026-02-07 21:55:31,SHIPPED,EAST
O0325,C0075,2026-03-15 13:57:07,DELIVERED,SOUTH
O0326,C0017,2025-06-20 15:16:36,CANCELLED,NORTH
O0327,C0346,2024-12-23 02:50:33,SHIPPED,WEST
O0328,C0402,2025-12-20 15:28:03,DELIVERED,NORTH
O0329,C0199,2025-04-22 19:05:18,DELIVERED,NORTH
O0330,UNKNOWN,2024-11-10 13:55:39,RETURNED,WEST
O0331,C0467,2026-05-22 14:47:48,DELIVERED,SOUTH
O0332,C0494,2025-07-24 15:57:06,CANCELLED,SOUTH
O0333,C0039,2025-06-19 17:54:28,SHIPPED,NORTH
O0334,C0220,2025-03-07 10:39:45,DELIVERED,SOUTH
O0335,C0434,2025-12-26 07:59:58,DELIVERED,WEST
O0336,C0080,2024-12-20 18:55:35,DELIVERED,NORTH
O0337,C0321,2024-12-18 11:43:04,DELIVERED,WEST
O0338,C0282,2025-04-15 02:57:28,DELIVERED,SOUTH
O0339,C0267,2026-01-21 03:59:43,RETURNED,SOUTH
O0340,C0275,2025-02-21 06:43:26,DELIVERED,SOUTH
O0341,C0340,2026-04-03 10:41:23,DELIVERED,EAST
O0342,C0386,2026-06-03 03:59:13,CANCELLED,NORTH
O0343,C0178,2025-09-13 05:27:06,RETURNED,SOUTH
O0344,C0350,2024-09-23 11:22:44,CANCELLED,NORTH
O0345,C0277,2024-11-25 09:42:00,PLACED,EAST
O0346,C0261,2025-03-08 03:27:32,PLACED,EAST
O0347,C0099,2025-02-12 12:46:50,PLACED,NORTH
O0348,C0490,2025-04-29 07:54:41,RETURNED,NORTH
O0349,C0108,2024-08-04 16:29:14,SHIPPED,WEST
O0350,C0106,2025-11-13 05:26:04,CANCELLED,NORTH
O0351,C0079,2025-05-08 01:04:39,DELIVERED,NORTH
O0352,C0028,2024-12-17 16:33:57,DELIVERED,NORTH
O0353,C0117,2024-08-17 20:03:19,CANCELLED,WEST
O0354,C0208,2026-04-22 01:23:15,PLACED,WEST
O0355,C0274,2026-02-22 00:37:03,RETURNED,NORTH
O0356,C0300,2025-01-25 14:09:32,PLACED,EAST
O0357,C0055,2026-01-12 20:09:22,DELIVERED,NORTH
O0358,C0475,2025-11-28 00:40:54,CANCELLED,NORTH
O0359,C0274,2025-09-01 20:35:41,CANCELLED,EAST
O0360,C0074,2025-05-14 05:10:16,DELIVERED,NORTH
O0361,C0285,2025-08-21 23:36:26,PLACED,NORTH
O0362,C0202,2025-08-02 14:39:38,PLACED,EAST
O0363,C0380,2025-09-10 23:56:12,DELIVERED,SOUTH
O0364,C0331,2025-10-25 23:22:39,SHIPPED,SOUTH
O0365,C0316,2025-03-27 19:32:12,SHIPPED,NORTH
O0366,C0410,2025-11-15 07:53:16,PLACED,WEST
O0367,C0038,2024-10-23 20:28:19,PLACED,EAST
O0368,C0372,2025-08-21 08:22:06,DELIVERED,EAST
O0369,C0336,2024-09-21 20:52:00,DELIVERED,NORTH
O0370,C0163,2026-04-06 06:04:36,DELIVERED,EAST
O0371,C0079,2024-11-06 23:00:28,DELIVERED,EAST
O0372,C0087,2026-05-04 05:31:25,SHIPPED,SOUTH
O0373,C0329,2024-12-29 18:37:13,DELIVERED,SOUTH
O0374,C0170,2025-07-24 17:08:48,CANCELLED,WEST
O0375,C0157,2024-10-15 07:10:05,PLACED,SOUTH
O0376,C0042,2025-09-25 06:34:45,SHIPPED,SOUTH
O0377,C0454,2026-04-07 01:28:10,PLACED,NORTH
O0378,C0324,2025-11-27 18:13:38,RETURNED,WEST
O0379,C0109,2025-08-23 06:18:55,RETURNED,EAST
O0380,C0277,2025-12-29 10:58:06,SHIPPED,EAST
O0381,C0457,2025-02-07 02:51:33,DELIVERED,SOUTH
O0382,C0262,2025-04-28 18:36:38,DELIVERED,NORTH
O0383,C0435,2025-10-20 19:09:21,RETURNED,SOUTH
O0384,C0072,2024-09-24 22:23:45,SHIPPED,SOUTH
O0385,C0248,2026-06-14 15:52:52,PLACED,SOUTH
O0386,C0119,2025-01-03 15:21:49,DELIVERED,SOUTH
O0387,UNKNOWN,2025-07-29 02:57:11,DELIVERED,WEST
O0388,C0233,2026-05-16 02:50:29,PLACED,EAST
O0389,C0496,2024-10-01 13:37:55,DELIVERED,EAST
O0390,C0292,2026-03-12 06:57:54,CANCELLED,EAST
O0391,C0460,2024-09-17 12:02:03,RETURNED,EAST
O0392,C0465,2025-09-15 18:48:16,CANCELLED,EAST
O0393,C0177,2026-06-20 12:42:31,CANCELLED,NORTH
O0394,C0072,2025-06-04 00:09:34,SHIPPED,NORTH
O0395,C0144,2025-04-30 18:12:07,SHIPPED,SOUTH
O0396,C0368,2026-01-03 15:47:19,SHIPPED,WEST
O0397,C0369,2026-03-28 19:34:51,CANCELLED,WEST
O0398,C0083,2025-02-14 08:01:11,CANCELLED,NORTH
O0399,C0066,2024-09-02 20:34:45,SHIPPED,SOUTH
O0400,C0021,2024-09-24 13:52:43,SHIPPED,NORTH
O0401,C0473,2025-03-14 03:46:35,CANCELLED,NORTH
O0402,C0373,2026-06-25 04:12:09,DELIVERED,NORTH
O0403,C0311,2026-07-06 20:24:48,CANCELLED,SOUTH
O0404,C0211,2024-10-14 02:30:57,RETURNED,SOUTH
O0405,C0262,2026-01-15 21:14:02,DELIVERED,WEST
O0406,C0036,2025-08-27 12:41:38,CANCELLED,SOUTH
O0407,C0104,2024-12-20 13:23:48,RETURNED,WEST
O0408,C0311,2025-08-23 12:48:49,CANCELLED,NORTH
O0409,C0273,2025-02-01 21:03:42,PLACED,NORTH
O0410,C0067,2025-11-03 22:45:59,RETURNED,NORTH
O0411,C0397,2024-12-12 20:13:11,CANCELLED,WEST
O0412,C0023,2026-02-02 10:23:01,CANCELLED,SOUTH
O0413,C0247,2025-06-03 10:41:05,CANCELLED,EAST
O0414,C0380,2024-10-20 05:41:30,RETURNED,NORTH
O0415,C0131,2025-11-13 15:55:20,SHIPPED,NORTH
O0416,C0449,2025-04-22 15:30:34,DELIVERED,SOUTH
O0417,UNKNOWN,2025-07-05 05:56:13,PLACED,NORTH
O0418,C0193,2025-12-03 02:34:38,DELIVERED,WEST
O0419,C0080,2026-05-11 01:06:53,RETURNED,EAST
O0420,C0275,2024-12-04 00:17:19,DELIVERED,EAST
O0421,C0204,2024-12-13 22:29:35,CANCELLED,WEST
O0422,C0287,2025-05-24 11:46:31,DELIVERED,EAST
O0423,C0397,2025-04-07 16:58:53,SHIPPED,NORTH
O0424,C0229,2024-11-27 16:56:29,SHIPPED,NORTH
O0425,C0206,2026-08-03 11:55:33,RETURNED,NORTH
O0426,C0494,2025-06-23 18:32:40,PLACED,SOUTH
O0427,C0308,2025-04-18 12:38:39,PLACED,EAST
O0428,C0041,2025-03-22 09:00:50,CANCELLED,WEST
O0429,C0267,2026-07-29 09:43:15,RETURNED,NORTH
O0430,C0420,2025-03-29 07:32:51,CANCELLED,WEST
