item_id,order_id,product_id,quantity,unit_price,discount_percent
I00075,O0096,P0102,5,3554.49,22.9
I00076,O0473,P0272,1,2204.0,24.5
I00077,O0351,P0181,-2,2552.11,15.12
I00078,O0032,P0321,5,1877.99,19.36
I00079,O0486,P0144,1,1656.52,17.09
I00080,O0045,P0374,4,2737.23,48.03
I00081,O0352,P0117,5,2979.6,28.64
I00082,O0466,P0310,4,2372.06,27.11
I00083,O0298,P0278,2,4819.94,10.12
I00084,O0362,P0461,2,3714.26,6.76
I00085,O0290,P0470,2,1190.53,3.39
I00086,O0061,P0095,5,2291.42,43.98
I00087,O0451,P0499,1,2956.88,20.56
I00088,O0421,P0458,4,4494.25,36.92
I00089,O0055,P0068,2,1374.75,38.12
I00090,O0311,P0291,5,4325.3,29.82
I00091,O0184,P0041,2,4848.17,23.83
I00092,O0241,P0365,5,4582.02,9.2
I00093,O0071,P0084,4,1433.49,1.61
I00094,O0487,P0212,1,1635.62,33.57
I00095,O0034,P0091,2,6497.01,49.28
I00096,O0167,P0444,5,3257.06,12.34
I00097,O0312,P0377,4,5787.87,36.01
I00098,O0381,P0293,4,4197.26,26.26
I00099,O0232,P0234,1,5806.37,2.12
I00100,O0203,P0377,2,370.84,19.37
I00101,O0226,P0204,1,6202.34,38.68
I00102,O0217,P0151,3,4330.63,2.73
I00103,O0238,P0425,5,4558.1,4.52
I00104,O0399,P0300,5,6571.11,34.81
I00105,O0166,P0231,2,271.89,22.68
I00106,O0047,P0129,2,2336.12,32.43
I00107,O0064,P0047,2,887.74,22.47
I00108,O0363,P0197,3,5115.43,48.76
I00109,O0194,P0282,5,2726.19,38.41
I00110,O0338,P0442,3,1135.62,43.44
I00111,O0027,P0215,2,2225.63,36.51
I00112,O0093,P0061,4,6299.94,48.02
I00113,O0130,P0007,1,3264.63,42.77
I00114,O0312,P0452,5,3504.92,10.84
I00115,O0227,P0041,4,4248.39,0.33
I00116,O0322,P0286,5,5758.84,10.38
I00117,O0335,P0179,2,353.38,42.69
I00118,O0153,P0170,5,6450.65,2.45
I00119,O0083,P0345,4,2062.23,33.05
I00120,O0288,P0091,5,6767.42,37.47
I00121,O0048,P0394,3,2165.13,18.43
I00122,O0389,P0219,4,5918.84,3.25
I00123,O0356,P0441,4,1993.49,26.35
I00124,O0108,P0314,5,501.47,28.57
I00125,O0248,P0371,5,4851.71,46.69
I00126,O0435,P0163,3,1891.65,28.76
I00127,O0067,P0315,5,3982.18,25.99
I00128,O0093,P0453,4,4304.9,35.43
I00129,O0013,P0239,-2,4415.68,5.9
I00130,O0213,P0212,2,413.9,17.48
I00131,O0104,P0354,-2,2043.22,39.51
I00132,O0282,P0166,3,5392.52,5.69
I00133,O0371,P0292,3,4350.35,1.46
I00134,O0427,P0174,2,6463.73,23.96
I00135,O0331,P0070,4,3422.32,31.36
I00136,O0237,P0402,5,5717.75,46.39
I00137,O0154,P0290,1,5102.25,15.78
I00138,O0296,P0351,-5,2388.86,45.81
I00139,O0077,P0144,3,5901.1,16.96
I00140,O0432,P0085,4,4039.77,19.48
I00141,O0401,P0385,5,2227.14,42.89
I00142,O0045,P0255,1,6151.64,18.58
I00143,O0155,P0090,3,874.4,39.25
I00144,O0228,P0260,2,272.05,24.13
I00145,O0175,P0473,5,3435.96,43.69
I00146,O0074,P0394,3,6115.41,41.11
I00147,O0068,P0106,5,5099.54,22.97
I00148,O0160,P0478,5,403.81,42.41
I00149,O0456,P0024,1,811.41,38.31
I00150,O0389,P0160,-3,4508.07,10.49
I00151,O0142,P0273,2,2302.13,22.06
I00152,O0081,P0141,1,889.78,47.91
I00153,O0106,P0278,5,2517.2,15.92
I00154,O0412,P0146,2,4061.17,8.56
I00155,O0174,P0277,3,3161.17,6.5
I00156,O0026,P0055,4,2746.84,4.31
I00157,O0306,P0457,4,4190.02,41.81
I00158,O0160,P0171,4,5740.35,35.64
I00159,O0473,P0387,5,5374.56,28.39
I00160,O0471,P0358,1,3331.1,22.78
I00161,O0486,P0115,4,1091.68,44.79
I00162,O0201,P0094,3,4927.34,33.26
I00163,O0016,P0034,3,3379.81,17.57
I00164,O0145,P0394,4,2505.45,28.73
I00165,O0419,P0366,5,5597.63,16.29
I00166,O0273,P0237,1,2865.63,20.67
I00167,O0082,P0499,5,3428.39,3.3
I00168,O0303,P0221,2,5511.77,21.77
I00169,O0121,P0089,3,4672.02,3.89
I00170,O0059,P0304,5,4212.92,16.27
I00171,O0091,P0158,1,6695.6,3.48
I00172,O0306,P0395,1,5757.07,16.37
I00173,O0419,P0072,1,6222.1,45.16
I00174,O0339,P0077,1,3225.52,14.58
I00175,O0101,P0106,5,4802.47,15.83
I00176,O0348,P0156,5,6437.66,46.83
I00177,O0299,P0005,3,4319.29,25.52
I00178,O0032,P0190,2,6317.42,48.39
I00179,O0421,P0184,1,856.92,14.11
I00180,O0360,P0303,1,2820.45,15.91
I00181,O0223,P0280,4,1557.39,8.67
I00182,O0197,P0432,2,6478.93,42.0
I00183,O0447,P0344,2,966.29,0.58
I00184,O0454,P0250,1,4639.69,48.75
I00185,O0329,P0413,2,2969.4,22.8
I00186,O0320,P0093,5,3235.32,21.21
I00187,O0116,P0096,4,3030.93,0.37
I00188,O0122,P0365,4,3561.93,20.54
I00189,O0018,P0020,5,4020.23,35.24
I00190,O0493,P0354,1,652.44,36.51
I00191,O0385,P0399,5,2028.0,25.85
I00192,O0046,P0126,5,3359.92,37.08
I00193,O0277,P0409,1,4099.44,30.65
I00194,O0006,P0241,3,3232.84,45.3
I00195,O0216,P0181,5,6728.01,39.91
I00196,O0356,P0473,3,4223.69,15.2
I00197,O0323,P0243,5,4089.17,28.64
I00198,O0320,P0014,3,2079.03,4.13
I00199,O0402,P0143,5,1839.15,30.79
I00200,O0008,P0380,3,869.69,8.73
I00201,O0338,P0229,5,2651.39,8.77
I00202,O0410,P0271,2,6047.9,17.14
I00203,O0305,P0479,1,5769.89,41.88
I00204,O0122,P0339,4,3137.28,31.88
I00205,O0432,P0177,2,474.85,13.22
I00206,O0238,P0205,1,3386.0,23.81
I00207,O0350,P0362,5,2791.49,13.13
I00208,O0007,P0148,5,6497.84,22.44
I00209,O0350,P0490,3,383.02,45.89
I00210,O0222,P0313,3,6434.49,42.92
I00211,O0411,P0051,3,1861.87,29.21
I00212,O0384,P0124,4,5166.76,29.44
I00213,O0347,P0354,2,6953.18,15.66
I00214,O0426,P0035,1,182.53,4.88
I00215,O0180,P0113,1,5104.23,12.59
I00216,O0048,P0030,-1,6575.69,32.83
I00217,O0327,P0063,2,4985.72,6.0
I00218,O0337,P0392,5,6309.29,28.3
I00219,O0357,P0095,2,1848.02,23.35
I00220,O0473,P0142,1,5408.58,34.61
I00221,O0400,P0038,3,2013.28,3.12
I00222,O0031,P0133,4,6693.68,13.23
I00223,O0476,P0103,4,4311.08,8.92
I00224,O0277,P0394,4,3075.65,30.7
I00225,O0367,P0133,1,812.68,3.65
I00226,O0398,P0229,5,229.48,24.89
I00227,O0341,P0200,1,1938.41,35.0
I00228,O0264,P0363,4,6585.39,24.53
I00229,O0373,P0400,4,5704.7,3.5
I00230,O0489,P0353,-2,5744.04,24.1
I00231,O0184,P0171,5,4804.67,20.03
I00232,O0437,P0492,1,2446.43,42.06
I00233,O0091,P0284,3,371.39,19.21
I00234,O0200,P0459,2,836.7,34.44
I00235,O0324,P0225,4,5173.74,7.0
I00236,O0304,P0123,-2,3475.7,3.15
I00237,O0256,P0274,5,6758.18,40.59
I00238,O0029,P0173,1,5535.67,2.14
I00239,O0335,P0342,1,3709.53,47.0
I00240,O0297,P0120,5,6481.23,1.84
I00241,O0010,P0242,2,6359.53,30.92
I00242,O0067,P0008,2,1288.52,2.5
I00243,O0050,P0234,3,4317.46,41.77
I00244,O0055,P0059,1,3530.29,39.96
I00245,O0104,P0219,2,2427.67,41.79
I00246,O0500,P0351,4,4074.17,6.87
I00247,O0304,P0089,2,2414.98,6.04
I00248,O0087,P0357,2,2652.5,8.25
I00249,O0021,P0069,2,789.78,42.37
I00250,O0081,P0009,5,6169.43,4.04
I00251,O0046,P0362,1,4597.11,44.35
I00252,O0406,P0396,4,3384.49,6.34
I00253,O0268,P0231,2,2943.02,46.9
I00254,O0306,P0093,5,5048.67,30.6
I00255,O0401,P0155,1,2500.19,0.23
I00256,O0272,P0049,2,4370.55,43.14
I00257,O0238,P0395,5,4422.6,10.41
I00258,O0408,P0077,1,4828.18,48.43
I00259,O0082,P0344,4,6466.44,2.7
I00260,O0223,P0129,3,2406.63,40.26
I00261,O0380,P0027,4,6481.54,8.79
I00262,O0060,P0037,1,6276.05,36.07
I00263,O0215,P0102,5,5254.9,44.92
I00264,O0167,P0117,2,776.64,36.89
I00265,O0113,P0038,2,3349.83,24.22
I00266,O0476,P0313,4,3239.44,19.37
I00267,O0100,P0324,2,2574.27,13.48
I00268,O0355,P0292,3,511.6,6.83
I00269,O0088,P0390,4,2470.67,44.32
I00270,O0407,P0327,5,6674.04,45.28
I00271,O0438,P0118,5,696.67,42.85
I00272,O0111,P0303,4,3367.07,23.14
I00273,O0377,P0447,1,1801.91,16.36
I00274,O0475,P0303,5,6629.14,45.69
I00275,O0023,P0021,1,6939.79,36.67
I00276,O0272,P0202,5,3406.96,39.9
I00277,O0124,P0043,1,3953.56,0.62
I00278,O0068,P0184,4,2140.95,32.38
I00279,O0343,P0157,-1,1216.44,22.96
I00280,O0013,P0500,5,3238.4,38.59
I00281,O0447,P0190,4,4425.0,35.2
I00282,O0037,P0198,1,6264.7,16.65
I00283,O0386,P0139,1,4916.58,30.63
I00284,O0404,P0351,5,658.62,44.04
I00285,O0466,P0346,1,2611.53,2.58
I00286,O0317,P0021,4,2622.44,8.76
I00287,O0288,P0364,5,5437.67,6.92
I00288,O0059,P0333,3,3401.6,46.96
I00289,O0360,P0108,5,5296.9,38.04
I00290,O0137,P0258,3,4793.56,13.86
I00291,O0232,P0249,1,3560.01,41.48
I00292,O0348,P0423,4,3776.7,14.61
I00293,O0345,P0485,5,4883.24,48.9
I00294,O0453,P0235,1,702.43,19.53
I00295,O0490,P0040,2,854.62,13.8
I00296,O0448,P0105,2,3692.74,31.36
I00297,O0350,P0278,3,6528.88,23.7
I00298,O0331,P0011,4,2111.47,3.15
I00299,O0267,P0331,2,2417.55,28.94
I00300,O0341,P0357,3,3758.15,27.42
I00301,O0068,P0460,4,5546.5,8.59
I00302,O0191,P0498,3,2088.21,42.28
I00303,O0234,P0490,2,1247.91,46.21
I00304,O0499,P0090,5,5891.39,34.64
I00305,O0060,P0022,2,6957.03,28.73
I00306,O0095,P0106,4,3981.16,1.73
I00307,O0076,P0191,3,3194.16,48.77
I00308,O0472,P0013,5,2891.48,24.97
I00309,O0476,P0164,2,1176.77,48.51
I00310,O0170,P0332,5,4967.61,23.7
I00311,O0387,P0294,3,4701.53,39.98
I00312,O0058,P0375,4,3404.97,2.0
I00313,O0013,P0206,5,4360.9,11.02
I00314,O0029,P0312,3,4525.06,29.17
I00315,O0393,P0143,2,1450.44,4.18
I00316,O0491,P0045,4,6833.29,19.72
I00317,O0310,P0262,4,6609.47,45.42
I00318,O0367,P0438,3,3050.72,19.31
I00319,O0180,P0158,1,6844.91,43.72
I00320,O0455,P0228,1,5216.54,20.78
I00321,O0413,P0373,4,6795.49,21.19
I00322,O0301,P0307,4,693.94,10.39
I00323,O0269,P0172,4,556.2,48.0
I00324,O0210,P0328,4,6409.43,20.73
I00325,O0291,P0387,5,6412.62,9.96
I00326,O0252,P0022,4,5777.31,15.1
I00327,O0287,P0379,5,3297.82,1.34
I00328,O0154,P0490,1,4519.83,31.83
I00329,O0458,P0148,1,2978.38,24.59
I00330,O0392,P0142,-2,3502.05,48.53
I00331,O0298,P0247,5,4002.46,43.42
I00332,O0419,P0062,4,2675.1,36.65
I00333,O0084,P0298,1,503.72,15.98
I00334,O0028,P0140,2,2592.03,31.81
I00335,O0150,P0272,3,4508.73,3.84
I00336,O0094,P0392,2,752.11,37.63
I00337,O0162,P0424,5,5930.46,39.99
I00338,O0353,P0186,3,761.25,29.0
I00339,O0266,P0145,-2,2673.8,24.24
I00340,O0084,P0053,3,1603.35,25.17
I00341,O0287,P0315,2,4858.6,47.62
I00342,O0360,P0388,5,5637.8,20.87
I00343,O0068,P0473,1,219.92,17.41
I00344,O0227,P0456,3,6914.31,26.16
I00345,O0156,P0015,3,5236.78,5.93
I00346,O0073,P0353,2,1663.36,6.27
I00347,O0218,P0354,2,5364.86,5.59
I00348,O0388,P0221,1,393.37,5.39
I00349,O0241,P0061,5,6368.85,2.16
I00350,O0387,P0050,3,5498.36,46.0
I00351,O0103,P0095,2,4727.14,1.46
I00352,O0483,P0143,2,6646.66,17.39
I00353,O0400,P0374,2,4329.4,25.25
I00354,O0297,P0391,1,196.49,10.85
I00355,O0088,P0462,2,5302.72,0.22
I00356,O0472,P0259,1,5973.95,23.74
I00357,O0345,P0491,5,840.54,41.74
I00358,O0264,P0117,4,2912.29,38.07
I00359,O0057,P0267,3,1037.8,38.11
I00360,O0021,P0043,3,2364.0,5.79
I00361,O0377,P0160,3,4840.62,42.05
I00362,O0149,P0438,2,3052.94,42.84
I00363,O0189,P0092,4,188.22,33.71
I00364,O0268,P0338,1,4767.98,5.96
I00365,O0303,P0053,4,5215.88,44.62
I00366,O0500,P0102,2,2436.56,29.75
I00367,O0430,P0218,4,5103.88,13.93
I00368,O0388,P0405,5,5626.79,47.16
I00369,O0309,P0487,3,2890.66,24.23
I00370,O0233,P0056,3,943.11,24.47
I00371,O0069,P0016,2,787.26,2.64
I00372,O0014,P0498,1,1335.76,30.23
I00373,O0319,P0320,3,764.7,3.83
I00374,O0406,P0239,5,1493.33,33.1
I00375,O0278,P0176,4,5685.42,27.03
I00376,O0017,P0221,1,6172.87,5.96
I00377,O0193,P0227,4,3271.63,1.64
I00378,O0400,P0156,5,6204.43,8.21
I00379,O0367,P0200,4,3463.44,5.47
I00380,O0351,P0277,4,4048.25,23.8
I00381,O0201,P0135,2,3513.37,48.54
I00382,O0393,P0146,5,2311.33,1.41
I00383,O0188,P0179,1,5685.92,29.2
I00384,O0220,P0177,3,6944.42,20.6
I00385,O0127,P0121,1,4571.77,29.63
I00386,O0059,P0173,1,1271.48,26.92
I00387,O0443,P0217,1,4019.54,45.07
I00388,O0241,P0302,-3,253.43,15.83
I00389,O0294,P0051,5,5677.45,5.0
I00390,O0258,P0416,2,5377.84,16.98
I00391,O0497,P0224,5,1492.13,31.77
I00392,O0275,P0110,1,2082.75,2.38
I00393,O0116,P0320,5,5225.93,4.6
I00394,O0173,P0140,5,564.16,40.06
I00395,O0178,P0408,4,628.96,41.19
I00396,O0222,P0340,5,3825.64,10.0
I00397,O0264,P0233,4,4733.77,27.38
I00398,O0265,P0442,1,1387.12,24.96
I00399,O0327,P0273,4,5681.64,42.64
I00400,O0373,P0321,4,513.18,10.03
I00401,O0078,P0383,4,4828.62,15.01
I00402,O0441,P0426,4,6386.85,31.7
I00403,O0147,P0331,4,1208.03,34.34
I00404,O0059,P0077,2,1424.22,12.28
I00405,O0287,P0224,3,3011.93,45.28
I00406,O0070,P0015,2,1882.94,40.18
I00407,O0437,P0022,5,6750.13,24.29
I00408,O0460,P0043,1,2265.94,14.9
I00409,O0209,P0460,1,2607.7,32.87
I00410,O0430,P0371,1,5914.98,11.8
I00411,O0478,P0062,5,3701.51,41.45
I00412,O0453,P0047,5,1742.73,6.11
I00413,O0300,P0378,3,2790.66,37.42
I00414,O0112,P0074,2,837.02,10.71
I00415,O0131,P0442,3,4167.42,24.52
I00416,O0058,P0163,3,3865.64,23.74
I00417,O0451,P0402,2,6565.11,18.15
I00418,O0011,P0331,3,6770.96,30.29
I00419,O0404,P0344,1,1753.76,27.64
I00420,O0359,P0186,3,6331.78,34.26
I00421,O0440,P0227,5,2780.45,45.49
I00422,O0470,P0131,4,2176.13,46.82
I00423,O0441,P0456,2,1205.57,21.94
I00424,O0393,P0330,3,2903.39,1.69
I00425,O0482,P0252,1,3350.53,20.65
I00426,O0449,P0471,3,5759.67,41.22
I00427,O0181,P0216,3,4254.6,40.67
I00428,O0015,P0391,3,459.48,32.08
I00429,O0070,P0002,4,2864.57,31.41
I00430,O0057,P0081,3,1822.26,35.68
I00431,O0352,P0211,2,5569.23,15.97
I00432,O0069,P0134,4,1297.01,29.65
I00433,O0102,P0044,3,2960.03,9.09
I00434,O0453,P0293,4,1648.96,47.41
I00435,O0321,P0118,5,6357.23,48.71
I00436,O0437,P0087,2,443.5,30.9
I00437,O0046,P0491,5,2638.65,47.36
I00438,O0270,P0223,-1,5436.18,46.41
I00439,O0366,P0105,4,1414.75,43.1
I00440,O0254,P0196,3,998.38,42.82
I00441,O0422,P0145,5,5114.29,9.47
I00442,O0075,P0015,2,2102.33,13.09
I00443,O0128,P0190,5,4122.03,32.36
I00444,O0069,P0447,-1,2330.4,34.65
I00445,O0363,P0217,2,5179.12,12.81
I00446,O0027,P0171,1,6524.35,23.55
I00447,O0481,P0344,3,6773.75,29.91
I00448,O0259,P0318,-1,2728.47,48.88
I00449,O0457,P0287,3,383.76,8.97
I00450,O0477,P0174,2,6157.49,6.6
I00451,O0222,P0073,3,1896.8,15.66
I00452,O0499,P0428,2,2038.9,18.03
I00453,O0449,P0135,4,4329.23,38.08
I00454,O0224,P0458,3,1238.39,36.84
I00455,O0078,P0285,4,5985.93,32.87
I00456,O0077,P0028,4,1686.04,1.79
I00457,O0240,P0224,3,900.57,44.76
I00458,O0183,P0364,4,3969.9,22.89
I00459,O0444,P0076,1,953.21,4.68
I00460,O0087,P0384,3,3610.29,13.64
I00461,O0498,P0003,5,3729.51,28.54
I00462,O0127,P0394,4,3536.96,4.72
I00463,O0349,P0349,-3,941.74,18.68
I00464,O0079,P0015,1,659.34,41.53
I00465,O0490,P0138,4,4200.01,0.29
I00466,O0487,P0232,1,2341.92,36.58
I00467,O0442,P0025,5,5630.75,14.15
I00468,O0281,P0488,1,4255.81,4.63
I00469,O0495,P0395,3,6072.06,4.46
I00470,O0400,P0207,2,2066.06,37.63
I00471,O0252,P0411,2,3083.27,40.32
I00472,O0309,P0068,3,2577.41,4.81
I00473,O0251,P0229,3,6209.35,23.82
I00474,O0047,P0388,5,3015.5,18.41
I00475,O0219,P0048,2,379.02,17.09
I00476,O0332,P0352,4,5024.08,46.53
I00477,O0269,P0043,5,2105.85,21.87
I00478,O0066,P0351,4,6330.03,42.08
I00479,O0292,P0025,5,3901.86,45.87
I00480,O0218,P0212,5,751.94,33.04
I00481,O0182,P0131,5,4140.42,38.43
I00482,O0339,P0237,1,1338.91,9.11
I00483,O0214,P0449,4,4960.21,15.7
I00484,O0231,P0320,4,5674.06,17.07
I00485,O0041,P0383,2,6877.08,12.97
I00486,O0010,P0003,1,2825.04,0.67
I00487,O0208,P0445,4,4638.25,37.21
I00488,O0417,P0499,4,4355.54,34.53
I00489,O0045,P0065,4,1032.29,9.54
I00490,O0097,P0440,1,285.03,24.06
I00491,O0224,P0432,2,4419.81,39.5
I00492,O0395,P0238,2,1122.34,21.09
I00493,O0079,P0379,1,4947.93,48.19
I00494,O0231,P0300,-4,1774.14,14.74
I00495,O0005,P0053,4,4449.83,35.65
I00496,O0378,P0297,4,4211.29,27.72
I00497,O0205,P0249,3,3642.15,36.23
I00498,O0032,P0271,4,231.24,28.82
I00499,O0458,P0332,5,2978.25,23.67
I00500,O0331,P0178,4,3193.45,21.81
I00501,O0099,P0241,2,2472.55,11.61
I00502,O0351,P0174,2,6459.98,42.67
I00503,O0151,P0371,4,5008.56,47.99
I00504,O0410,P0498,3,5927.27,31.09
I00505,O0045,P0342,3,3431.94,8.66
I00506,O0052,P0407,2,2970.29,49.69
I00507,O0286,P0025,3,6994.9,17.94
I00508,O0082,P0090,3,5812.85,44.72
I00509,O0173,P0221,1,886.39,11.33
I00510,O0133,P0175,5,5515.71,38.47
I00511,O0078,P0437,5,4861.94,25.77
I00512,O0475,P0485,1,3121.0,22.86
I00513,O0401,P0313,1,4306.63,42.92
I00514,O0022,P0260,1,827.34,31.5
I00515,O0081,P0373,2,2115.65,22.08
I00516,O0446,P0051,5,1164.64,18.19
I00517,O0104,P0225,2,6790.49,38.46
I00518,O0415,P0243,1,2455.11,25.25
I00519,O0367,P0387,1,2963.56,31.47
I00520,O0386,P0272,2,3009.88,11.41
I00521,O0210,P0460,4,3265.4,42.62
I00522,O0227,P0075,3,5414.05,35.88
I00523,O0044,P0174,5,2272.15,49.1
I00524,O0202,P0389,2,355.95,46.13
I00525,O0030,P0324,2,6862.32,39.95
I00526,O0215,P0206,5,6211.9,35.04
I00527,O0161,P0466,3,2474.69,41.35
I00528,O0076,P0359,5,2887.17,32.19
I00529,O0317,P0334,5,3150.79,17.26
I00530,O0452,P0155,4,681.54,26.87
I00531,O0379,P0451,4,969.44,49.6
I00532,O0262,P0283,3,2254.54,17.04
I00533,O0456,P0408,-2,3825.54,12.93
I00534,O0259,P0057,3,5150.7,42.08
I00535,O0182,P0064,3,429.36,32.55
I00536,O0294,P0378,1,135.97,16.95
I00537,O0298,P0290,2,5031.07,46.88
I00538,O0120,P0180,5,2164.49,33.35
I00539,O0366,P0194,5,3685.7,12.38
I00540,O0099,P0422,3,5471.99,22.72
I00541,O0425,P0211,2,665.44,3.11
I00542,O0229,P0040,2,2648.13,26.31
I00543,O0399,P0203,5,6116.9,29.22
I00544,O0353,P0477,4,6639.96,36.59
I00545,O0074,P0259,4,977.16,35.56
I00546,O0263,P0442,2,3751.07,34.72
I00547,O0383,P0081,4,6614.08,18.47
I00548,O0210,P0057,1,933.98,28.59
I00549,O0061,P0191,1,2203.98,18.72
I00550,O0406,P0074,3,1080.76,29.48
I00551,O0157,P0456,1,2056.03,9.15
I00552,O0281,P0179,-4,566.2,2.23
I00553,O0290,P0232,4,6311.98,39.07
I00554,O0427,P0311,4,1016.39,6.93
I00555,O0342,P0230,4,1127.98,36.39
I00556,O0341,P0320,1,2926.44,11.64
I00557,O0024,P0491,4,4726.06,22.15
I00558,O0444,P0085,3,4979.74,28.6
I00559,O0064,P0330,3,3959.53,9.62
I00560,O0388,P0028,5,6705.32,26.09
I00561,O0010,P0062,4,4641.96,26.59
I00562,O0106,P0126,1,5824.86,41.95
I00563,O0414,P0274,5,4287.3,20.09
I00564,O0479,P0012,1,2445.7,9.03
I00565,O0163,P0196,1,1874.53,5.73
I00566,O0147,P0074,1,1360.42,38.42
I00567,O0209,P0348,2,1267.42,30.72
I00568,O0366,P0030,3,2156.37,4.94
I00569,O0166,P0133,2,2691.04,41.39
I00570,O0123,P0386,1,4219.33,11.82
I00571,O0198,P0487,5,894.06,3.03
I00572,O0034,P0248,4,299.45,31.68
I00573,O0494,P0301,1,4758.17,12.32
I00574,O0065,P0156,5,4020.89,22.3
I00575,O0496,P0073,5,2675.81,49.27
I00576,O0217,P0493,2,6389.3,22.59
I00577,O0493,P0425,1,4383.04,32.65
I00578,O0478,P0472,-2,3427.09,29.89
I00579,O0432,P0324,4,1568.0,42.03
I00580,O0379,P0274,3,3985.26,15.03
I00581,O0426,P0072,4,5103.01,49.94
I00582,O0259,P0491,4,5634.19,44.2
I00583,O0386,P0363,3,3223.75,12.3
I00584,O0236,P0492,3,4236.64,0.79
I00585,O0002,P0312,2,3388.05,45.07
I00586,O0459,P0357,2,4952.77,38.12
I00587,O0449,P0333,5,4593.74,26.93
I00588,O0181,P0498,4,5708.19,41.37
I00589,O0430,P0394,3,5701.9,49.19
I00590,O0480,P0099,1,3167.59,11.08
I00591,O0349,P0472,1,4993.46,9.58
I00592,O0414,P0368,5,1625.92,49.01
I00593,O0253,P0464,3,4957.93,30.3
I00594,O0421,P0327,1,2832.99,43.5
I00595,O0088,P0283,5,1437.01,36.94
I00596,O0034,P0302,5,984.9,3.25
I00597,O0439,P0117,3,6178.92,36.44
I00598,O0348,P0012,3,6944.46,34.65
I00599,O0349,P0287,5,6193.4,0.1
I00600,O0483,P0333,4,457.85,46.94
I00601,O0209,P0141,4,939.85,25.91
I00602,O0389,P0023,4,6198.24,11.23
I00603,O0273,P0230,3,2282.07,19.59
I00604,O0293,P0414,3,275.07,36.87
I00605,O0470,P0128,4,1458.45,16.46
I00606,O0050,P0015,1,3411.77,40.4
I00607,O0479,P0172,5,5899.5,12.36
I00608,O0175,P0427,4,475.59,16.68
I00609,O0398,P0308,2,4375.01,38.2
