customer_id,revenue,cumulative_revenue,cumulative_percent
C0245,27028.41,5568029.05,73.49
C0430,26959.93,5594988.98,73.85
C0042,26751.38,5621740.36,74.2
C0085,26597.18,5648337.54,74.55
C0195,26302.4,5674639.94,74.9
C0212,26299.19,5700939.12,75.25
C0177,26169.57,5727108.69,75.59
C0234,25904.19,5753012.88,75.93
C0347,25621.21,5778634.09,76.27
C0101,24953.74,5803587.83,76.6
C0199,24769.47,5828357.3,76.93
C0005,24629.59,5852986.89,77.25
C0495,24169.99,5877156.88,77.57
C0038,23940.39,5901097.27,77.89
C0161,23935.4,5925032.67,78.2
C0157,23935.21,5948967.88,78.52
C0159,23869.33,5972837.22,78.83
C0336,23846.3,5996683.52,79.15
C0303,23695.21,6020378.73,79.46
C0091,23683.37,6044062.1,79.77
C0136,23500.96,6067563.06,80.08
C0248,23100.18,6090663.24,80.39
C0308,22677.06,6113340.3,80.69
C0346,22409.11,6135749.41,80.98
C0067,22276.03,6158025.43,81.28
C0025,22151.33,6180176.77,81.57
C0267,22004.32,6202181.09,81.86
C0075,21706.08,6223887.17,82.15
C0435,21569.84,6245457.01,82.43
C0008,21540.07,6266997.08,82.72
C0482,21509.46,6288506.55,83.0
C0247,21422.1,6309928.65,83.28
C0041,21042.35,6330971.0,83.56
C0358,21002.8,6351973.8,83.84
C0143,20617.59,6372591.39,84.11
C0309,20595.66,6393187.05,84.38
C0317,20415.63,6413602.69,84.65
C0028,19990.86,6433593.55,84.92
C0440,19733.54,6453327.09,85.18
C0182,19521.55,6472848.64,85.43
C0029,19246.31,6492094.95,85.69
C0395,18951.43,6511046.38,85.94
C0409,18268.84,6529315.22,86.18
C0104,18260.17,6547575.39,86.42
C0055,18229.52,6565804.92,86.66
C0328,18224.68,6584029.6,86.9
C0327,18139.28,6602168.88,87.14
C0084,17912.11,6620080.99,87.38
C0428,17706.62,6637787.61,87.61
C0256,17516.74,6655304.35,87.84
C0499,16725.83,6672030.18,88.06
C0156,16677.38,6688707.56,88.28
C0460,16627.92,6705335.48,88.5
C0168,16497.63,6721833.11,88.72
C0293,16320.13,6738153.24,88.94
C0390,16303.12,6754456.36,89.15
C0439,16180.83,6770637.19,89.36
C0378,16143.52,6786780.72,89.58
C0020,15940.73,6802721.45,89.79
C0320,15804.75,6818526.2,90.0
C0316,15780.59,6834306.79,90.2
C0330,15607.25,6849914.04,90.41
C0474,15603.73,6865517.77,90.62
C0340,15436.2,6880953.97,90.82
C0406,15362.96,6896316.93,91.02
C0227,15274.58,6911591.51,91.22
C0426,15208.1,6926799.61,91.43
C0231,15177.48,6941977.09,91.63
C0429,15138.29,6957115.38,91.83
C0352,14974.65,6972090.03,92.02
C0384,14835.08,6986925.11,92.22
C0222,14751.28,7001676.39,92.41
C0013,14716.95,7016393.34,92.61
C0122,14660.05,7031053.39,92.8
C0268,14590.16,7045643.55,92.99
C0077,14490.6,7060134.15,93.19
C0473,14432.46,7074566.61,93.38
C0187,13969.68,7088536.29,93.56
C0403,13928.83,7102465.12,93.74
C0398,13612.49,7116077.6,93.92
C0478,13470.84,7129548.44,94.1
C0223,13427.02,7142975.46,94.28
C0315,13106.18,7156081.64,94.45
C0405,13017.5,7169099.15,94.62
C0349,12609.51,7181708.66,94.79
C0391,12443.09,7194151.75,94.95
C0457,12380.24,7206531.98,95.12
C0434,12276.93,7218808.91,95.28
C0153,12173.34,7230982.25,95.44
C0109,12113.22,7243095.47,95.6
C0345,12082.29,7255177.76,95.76
C0150,11936.52,7267114.28,95.92
C0193,11903.49,7279017.77,96.07
C0205,11838.16,7290855.93,96.23
C0273,11534.05,7302389.98,96.38
C0367,11511.83,7313901.81,96.53
C0289,11302.07,7325203.89,96.68
C0185,11150.38,7336354.27,96.83
C0442,11004.11,7347358.38,96.98
C0221,10723.62,7358082.0,97.12
C0313,10400.8,7368482.8,97.26
C0249,10111.98,7378594.79,97.39
C0099,10082.78,7388677.57,97.52
C0323,9795.99,7398473.55,97.65
C0058,9720.17,7408193.72,97.78
C0472,8336.43,7416530.16,97.89
C0324,8230.04,7424760.2,98.0
C0285,8212.45,7432972.64,98.11
C0017,7952.81,7440925.45,98.21
C0151,7896.74,7448822.19,98.32
C0164,7825.64,7456647.83,98.42
C0152,7778.34,7464426.18,98.52
C0498,7213.16,7471639.34,98.62
C0064,7052.82,7478692.16,98.71
C0202,6926.35,7485618.51,98.8
C0097,6505.52,7492124.03,98.89
C0382,6147.58,7498271.61,98.97
C0414,5992.27,7504263.88,99.05
C0307,5804.97,7510068.85,99.12
C0039,5794.54,7515863.4,99.2
C0465,5660.14,7521523.54,99.28
C0475,5431.33,7526954.86,99.35
C0019,5239.19,7532194.05,99.42
C0179,4925.99,7537120.04,99.48
C0353,4897.85,7542017.9,99.55
C0302,4665.54,7546683.44,99.61
C0386,4552.61,7551236.05,99.67
C0016,4371.6,7555607.66,99.72
C0125,4242.08,7559849.74,99.78
C0393,4171.96,7564021.7,99.84
C0120,4124.47,7568146.17,99.89
C0208,4042.83,7572189.01,99.94
C0203,3879.29,7576068.3,99.99
C0088,3784.29,7579852.58,100.04
C0146,3659.82,7583512.41,100.09
C0341,3654.27,7587166.68,100.14
C0060,3615.94,7590782.62,100.19
C0114,3353.46,7594136.08,100.23
C0047,3336.6,7597472.68,100.28
C0235,3320.08,7600792.76,100.32
C0492,3186.98,7603979.73,100.36
C0211,3111.84,7607091.57,100.4
C0339,2896.92,7609988.49,100.44
C0306,2883.11,7612871.6,100.48
C0095,2816.62,7615688.22,100.52
C0240,2571.79,7618260.01,100.55
C0493,2207.93,7620467.94,100.58
C0142,1990.73,7622458.68,100.61
C0229,1808.08,7624266.76,100.63
C0068,1601.11,7625867.87,100.65
C0344,1492.42,7627360.29,100.67
C0180,1479.57,7628839.86,100.69
C0462,1326.24,7630166.09,100.71
C0252,874.37,7631040.47,100.72
C0331,692.64,7631733.11,100.73
C0369,316.05,7632049.16,100.73
C0110,31.05,7632080.21,100.73
C0296,-782.8,7631297.41,100.72
C0178,-937.15,7630360.27,100.71
C0497,-6236.37,7624123.89,100.63
C0424,-7813.37,7616310.52,100.53
C0281,-12680.66,7603629.86,100.36
C0167,-12800.11,7590829.75,100.19
C0214,-14381.24,7576448.51,100.0
