region_code,order_date,daily_revenue,running_total
NORTH,2025-08-19,9720.17,898189.26
NORTH,2025-08-23,30049.69,928238.95
NORTH,2025-09-02,47912.79,976151.74
NORTH,2025-09-03,33859.3,1010011.04
NORTH,2025-09-17,33200.98,1043212.02
NORTH,2025-09-29,13672.43,1056884.45
NORTH,2025-10-13,35170.67,1092055.12
NORTH,2025-10-22,4042.83,1096097.95
NORTH,2025-11-02,70290.05,1166388.0
NORTH,2025-11-03,22276.03,1188664.03
NORTH,2025-11-09,31985.05,1220649.08
NORTH,2025-11-13,62682.76,1283331.84
NORTH,2025-12-08,19869.7,1303201.54
NORTH,2025-12-20,10363.5,1313565.04
NORTH,2025-12-21,41586.76,1355151.8
NORTH,2026-01-12,41174.27,1396326.07
NORTH,2026-01-24,3336.6,1399662.67
NORTH,2026-02-22,12514.47,1412177.14
NORTH,2026-02-28,21540.07,1433717.21
NORTH,2026-03-03,11291.02,1445008.23
NORTH,2026-03-11,29171.02,1474179.25
NORTH,2026-03-21,9316.25,1483495.5
NORTH,2026-03-22,598.02,1484093.52
NORTH,2026-04-01,26507.62,1510601.14
NORTH,2026-04-07,29729.0,1540330.14
NORTH,2026-04-20,3654.27,1543984.41
NORTH,2026-05-14,-7813.37,1536171.04
NORTH,2026-05-30,13017.5,1549188.54
NORTH,2026-06-03,4552.61,1553741.15
NORTH,2026-06-15,15518.03,1569259.18
NORTH,2026-06-20,26169.57,1595428.75
NORTH,2026-06-25,31188.25,1626617.0
NORTH,2026-06-27,8357.93,1634974.93
NORTH,2026-07-08,16320.13,1651295.06
NORTH,2026-07-18,23444.21,1674739.27
NORTH,2026-07-23,26299.19,1701038.46
NORTH,2026-07-24,29489.09,1730527.55
NORTH,2026-07-29,15491.05,1746018.6
NORTH,2026-08-01,10321.16,1756339.76
NORTH,2026-08-03,31981.76,1788321.52
SOUTH,2024-08-12,4171.96,4171.96
SOUTH,2024-08-18,51003.65,55175.61
SOUTH,2024-09-02,43066.24,98241.85
SOUTH,2024-09-04,22074.91,120316.76
SOUTH,2024-09-12,4928.57,125245.33
SOUTH,2024-09-14,1601.11,126846.44
SOUTH,2024-09-24,24882.47,151728.91
SOUTH,2024-09-28,37550.96,189279.87
SOUTH,2024-10-01,14778.72,204058.59
SOUTH,2024-10-09,15177.48,219236.07
SOUTH,2024-10-11,30781.06,250017.13
SOUTH,2024-10-14,3111.84,253128.97
SOUTH,2024-10-18,37814.33,290943.3
SOUTH,2024-10-25,-6236.37,284706.93
SOUTH,2024-10-30,43754.93,328461.86
SOUTH,2024-10-31,19733.54,348195.4
SOUTH,2024-11-01,5352.53,353547.93
SOUTH,2024-11-13,12684.48,366232.41
SOUTH,2024-11-22,34350.37,400582.78
SOUTH,2024-11-25,-12800.11,387782.67
SOUTH,2024-12-01,37274.8,425057.47
SOUTH,2024-12-04,4124.47,429181.94
SOUTH,2024-12-19,18142.67,447324.61
SOUTH,2024-12-29,32378.56,479703.17
SOUTH,2025-01-02,64481.97,544185.14
SOUTH,2025-01-03,21303.62,565488.76
SOUTH,2025-01-05,8209.66,573698.42
SOUTH,2025-01-31,8336.43,582034.85
SOUTH,2025-02-05,23846.3,605881.15
SOUTH,2025-02-07,12380.24,618261.39
SOUTH,2025-02-08,20845.77,639107.16
SOUTH,2025-02-09,1097.08,640204.24
SOUTH,2025-02-15,5794.54,645998.78
SOUTH,2025-02-16,35909.47,681908.25
SOUTH,2025-02-17,51383.68,733291.93
SOUTH,2025-02-18,1492.42,734784.35
SOUTH,2025-03-06,874.37,735658.72
SOUTH,2025-03-11,2816.62,738475.34
SOUTH,2025-03-18,31103.11,769578.45
SOUTH,2025-03-29,2213.85,771792.3
SOUTH,2025-04-02,2883.11,774675.41
SOUTH,2025-04-15,27116.36,801791.77
SOUTH,2025-04-19,23857.49,825649.26
SOUTH,2025-04-22,22165.42,847814.68
SOUTH,2025-04-26,13708.59,861523.27
SOUTH,2025-04-30,24843.3,886366.57
SOUTH,2025-05-02,7122.09,893488.66
SOUTH,2025-05-19,3646.21,897134.87
SOUTH,2025-06-01,11004.11,908138.98
SOUTH,2025-06-04,31731.63,939870.61
SOUTH,2025-06-22,7965.28,947835.89
SOUTH,2025-06-23,10391.89,958227.78
SOUTH,2025-06-25,26597.18,984824.96
SOUTH,2025-06-27,24169.99,1008994.95
SOUTH,2025-07-15,26536.28,1035531.23
SOUTH,2025-07-17,34288.34,1069819.57
SOUTH,2025-07-18,55576.59,1125396.16
SOUTH,2025-07-24,10745.5,1136141.66
SOUTH,2025-07-28,17924.01,1154065.67
SOUTH,2025-08-03,11386.18,1165451.85
SOUTH,2025-08-16,26959.93,1192411.78
SOUTH,2025-08-17,13390.97,1205802.75
SOUTH,2025-08-27,19961.3,1225764.05
SOUTH,2025-09-02,5992.27,1231756.32
SOUTH,2025-09-08,4354.22,1236110.54
SOUTH,2025-09-10,32685.94,1268796.48
SOUTH,2025-09-13,-937.15,1267859.33
SOUTH,2025-09-17,3716.22,1271575.55
SOUTH,2025-09-18,31393.99,1302969.54
SOUTH,2025-09-22,23869.33,1326838.87
SOUTH,2025-09-25,26751.38,1353590.25
SOUTH,2025-09-29,28637.86,1382228.11
SOUTH,2025-10-03,8212.45,1390440.56
SOUTH,2025-10-20,21569.84,1412010.4
SOUTH,2025-10-25,692.64,1412703.04
SOUTH,2025-10-26,18411.11,1431114.15
SOUTH,2025-11-04,4888.43,1436002.58
SOUTH,2025-11-12,62722.15,1498724.73
SOUTH,2025-11-24,35123.41,1533848.14
SOUTH,2025-11-30,31463.05,1565311.19
SOUTH,2025-12-01,26122.51,1591433.7
SOUTH,2025-12-18,26568.99,1618002.69
SOUTH,2025-12-20,26477.86,1644480.55
SOUTH,2025-12-27,5861.83,1650342.38
SOUTH,2025-12-29,21930.0,1672272.38
SOUTH,2026-01-08,21079.08,1693351.46
SOUTH,2026-01-14,16751.44,1710102.9
SOUTH,2026-01-16,15151.55,1725254.45
SOUTH,2026-01-19,21509.46,1746763.91
SOUTH,2026-01-21,6513.27,1753277.18
SOUTH,2026-01-24,3929.05,1757206.23
SOUTH,2026-02-02,9112.81,1766319.04
SOUTH,2026-02-13,25147.44,1791466.48
SOUTH,2026-02-18,16143.52,1807610.0
SOUTH,2026-02-25,7213.16,1814823.16
SOUTH,2026-03-03,14590.16,1829413.32
SOUTH,2026-03-05,15804.75,1845218.07
SOUTH,2026-03-15,21706.08,1866924.15
SOUTH,2026-03-17,15432.48,1882356.63
SOUTH,2026-03-24,9383.4,1891740.03
SOUTH,2026-03-30,28350.34,1920090.37
SOUTH,2026-04-12,1326.24,1921416.61
SOUTH,2026-04-16,43530.61,1964947.22
SOUTH,2026-05-03,15198.24,1980145.46
SOUTH,2026-05-04,31143.83,2011289.29
SOUTH,2026-05-08,15940.73,2027230.02
SOUTH,2026-05-22,42868.24,2070098.26
SOUTH,2026-05-30,29116.23,2099214.49
SOUTH,2026-06-04,44839.6,2144054.09
SOUTH,2026-06-07,15032.51,2159086.6
SOUTH,2026-06-14,9126.7,2168213.3
SOUTH,2026-06-15,13973.48,2182186.78
SOUTH,2026-06-30,33787.17,2215973.95
SOUTH,2026-07-03,19650.09,2235624.04
SOUTH,2026-07-06,2934.89,2238558.93
SOUTH,2026-07-10,14012.31,2252571.24
SOUTH,2026-07-17,20959.61,2273530.85
WEST,2024-08-04,33153.65,33153.65
WEST,2024-08-09,65748.8,98902.45
WEST,2024-08-10,31870.83,130773.28
WEST,2024-08-11,11150.38,141923.66
WEST,2024-08-17,41300.09,183223.75
WEST,2024-08-20,12215.24,195438.99
WEST,2024-08-25,12263.72,207702.71
WEST,2024-09-03,39490.23,247192.94
WEST,2024-09-16,5316.95,252509.89
WEST,2024-11-08,8867.08,261376.97
WEST,2024-11-21,20415.63,281792.6
WEST,2024-11-30,25809.37,307601.97
WEST,2024-12-09,20498.35,328100.32
WEST,2024-12-11,12173.34,340273.66
WEST,2024-12-12,3954.05,344227.71
WEST,2024-12-13,120200.45,464428.16
WEST,2024-12-15,12609.51,477037.67
WEST,2024-12-16,21626.25,498663.92
WEST,2024-12-18,22618.8,521282.72
WEST,2024-12-20,18260.17,539542.89
WEST,2024-12-23,22409.11,561952.0
WEST,2024-12-27,47566.93,609518.93
WEST,2024-12-30,14716.95,624235.88
WEST,2025-01-13,28379.32,652615.2
WEST,2025-01-21,16303.12,668918.32
WEST,2025-01-23,8882.95,677801.27
WEST,2025-01-24,21002.8,698804.07
WEST,2025-02-01,13021.14,711825.21
WEST,2025-02-02,7778.34,719603.55
WEST,2025-02-09,20617.59,740221.14
WEST,2025-02-11,12120.11,752341.25
WEST,2025-02-19,13106.18,765447.43
WEST,2025-02-21,-2996.65,762450.78
WEST,2025-02-24,47773.47,810224.25
WEST,2025-02-28,25621.21,835845.46
WEST,2025-03-03,16116.38,851961.84
WEST,2025-03-11,216.45,852178.29
WEST,2025-03-12,37662.47,889840.76
WEST,2025-03-13,19552.98,909393.74
WEST,2025-03-22,13749.61,923143.35
WEST,2025-03-29,63758.39,986901.74
WEST,2025-04-10,1712.62,988614.36
WEST,2025-04-12,15036.2,1003650.56
WEST,2025-05-10,17912.11,1021562.67
WEST,2025-05-15,40953.23,1062515.9
WEST,2025-05-18,4925.99,1067441.89
WEST,2025-06-15,4022.59,1071464.48
WEST,2025-06-23,13429.41,1084893.89
WEST,2025-06-25,3879.29,1088773.18
WEST,2025-07-29,17372.92,1106146.1
WEST,2025-07-30,12443.09,1118589.19
WEST,2025-08-04,29224.94,1147814.13
WEST,2025-08-16,13427.02,1161241.15
WEST,2025-08-21,2896.92,1164138.07
WEST,2025-09-08,16497.63,1180635.7
WEST,2025-09-12,1048.01,1181683.71
WEST,2025-09-14,13612.49,1195296.2
WEST,2025-09-20,3615.94,1198912.14
WEST,2025-09-28,13832.23,1212744.37
WEST,2025-10-06,4010.52,1216754.89
WEST,2025-10-12,28076.46,1244831.35
WEST,2025-10-13,29416.93,1274248.28
WEST,2025-10-18,27524.97,1301773.25
WEST,2025-10-25,19230.32,1321003.57
WEST,2025-10-30,40953.37,1361956.94
WEST,2025-11-06,23695.21,1385652.15
WEST,2025-11-08,3616.38,1389268.53
WEST,2025-11-14,24844.88,1414113.41
WEST,2025-11-15,39298.21,1453411.62
WEST,2025-11-27,12175.68,1465587.3
WEST,2025-12-03,7651.46,1473238.76
WEST,2025-12-09,20595.66,1493834.42
WEST,2025-12-10,34836.46,1528670.88
WEST,2025-12-14,11838.16,1540509.04
WEST,2025-12-16,5804.97,1546314.01
WEST,2025-12-20,63467.72,1609781.73
WEST,2025-12-26,12276.93,1622058.66
WEST,2026-01-15,16955.35,1639014.01
WEST,2026-01-17,3153.9,1642167.91
WEST,2026-02-13,57110.6,1699278.51
WEST,2026-02-14,1990.73,1701269.24
WEST,2026-02-21,40844.96,1742114.2
WEST,2026-02-23,-14349.85,1727764.35
WEST,2026-03-05,20130.57,1747894.92
WEST,2026-03-14,45441.24,1793336.16
WEST,2026-03-17,11170.14,1804506.3
WEST,2026-03-28,316.05,1804822.35
WEST,2026-04-19,13099.64,1817921.99
WEST,2026-04-21,15396.51,1833318.5
WEST,2026-04-24,1479.57,1834798.07
WEST,2026-04-27,36640.37,1871438.44
WEST,2026-04-30,11866.74,1883305.18
WEST,2026-05-01,18224.68,1901529.86
WEST,2026-05-12,7896.74,1909426.6
WEST,2026-05-16,802.51,1910229.11
WEST,2026-05-19,11936.52,1922165.63
WEST,2026-05-21,18567.12,1940732.75
WEST,2026-05-29,20468.75,1961201.5
WEST,2026-06-08,23500.96,1984702.46
WEST,2026-06-11,54452.49,2039154.95
WEST,2026-06-19,57858.93,2097013.88
WEST,2026-06-26,8448.08,2105461.96
WEST,2026-07-13,30746.99,2136208.95
WEST,2026-07-22,28593.7,2164802.65
