customer_id,total_value,quartile,quartile_label
C0493,2207.93,4,Bronze
C0142,1990.73,4,Bronze
C0229,1808.08,4,Bronze
C0068,1601.11,4,Bronze
C0344,1492.42,4,Bronze
C0180,1479.57,4,Bronze
C0462,1326.24,4,Bronze
C0252,874.37,4,Bronze
C0331,692.64,4,Bronze
C0369,316.05,4,Bronze
C0110,31.05,4,Bronze
C0296,-782.8,4,Bronze
C0178,-937.15,4,Bronze
C0497,-6236.37,4,Bronze
C0424,-7813.37,4,Bronze
C0281,-12680.66,4,Bronze
C0167,-12800.11,4,Bronze
C0214,-14381.24,4,Bronze
