customer_id,order_date,previous_order_date,days_gap,customer_status
C0353,2026-02-18,2025-12-29,51.0,At Risk
C0354,2025-05-23,,,At Risk
C0354,2026-03-15,2025-05-23,296.0,At Risk
C0356,2025-07-28,,,At Risk
C0356,2025-12-08,2025-07-28,133.0,At Risk
C0356,2026-05-21,2025-12-08,164.0,At Risk
C0361,2024-12-13,,,At Risk
C0361,2025-07-06,2024-12-13,205.0,At Risk
C0361,2025-09-03,2025-07-06,59.0,At Risk
C0367,2026-01-17,,,At Risk
C0367,2026-06-27,2026-01-17,161.0,At Risk
C0372,2025-03-28,,,At Risk
C0372,2025-08-21,2025-03-28,146.0,At Risk
C0373,2024-12-27,,,At Risk
C0373,2026-03-22,2024-12-27,450.0,At Risk
C0373,2026-06-25,2026-03-22,95.0,At Risk
C0380,2024-10-20,,,At Risk
C0380,2024-12-19,2024-10-20,60.0,At Risk
C0380,2025-09-10,2024-12-19,265.0,At Risk
C0380,2026-03-21,2025-09-10,192.0,At Risk
C0383,2025-03-12,,,At Risk
C0383,2026-05-03,2025-03-12,417.0,At Risk
C0388,2025-02-09,,,At Risk
C0388,2026-03-11,2025-02-09,395.0,At Risk
C0392,2024-08-20,,,At Risk
C0392,2025-12-20,2024-08-20,487.0,At Risk
C0392,2026-04-19,2025-12-20,120.0,At Risk
C0397,2024-12-12,,,At Risk
C0397,2025-02-17,2024-12-12,67.0,At Risk
C0397,2025-04-07,2025-02-17,49.0,At Risk
C0401,2024-10-08,,,At Risk
C0401,2024-12-16,2024-10-08,69.0,At Risk
C0402,2024-11-01,,,At Risk
C0402,2025-08-03,2024-11-01,275.0,At Risk
C0402,2025-08-04,2025-08-03,1.0,At Risk
C0402,2025-12-20,2025-08-04,138.0,At Risk
C0402,2026-02-13,2025-12-20,55.0,At Risk
C0409,2024-10-01,,,At Risk
C0409,2025-06-02,2024-10-01,244.0,At Risk
C0410,2025-07-17,,,At Risk
C0410,2025-11-15,2025-07-17,121.0,At Risk
C0412,2024-12-27,,,At Risk
C0412,2026-07-07,2024-12-27,557.0,At Risk
C0413,2025-01-16,,,At Risk
C0413,2026-03-17,2025-01-16,425.0,At Risk
C0421,2025-08-17,,,At Risk
C0421,2025-10-13,2025-08-17,57.0,At Risk
C0422,2024-08-04,,,At Risk
C0422,2025-03-04,2024-08-04,212.0,At Risk
C0422,2025-05-04,2025-03-04,61.0,At Risk
C0422,2026-01-24,2025-05-04,265.0,At Risk
C0422,2026-03-05,2026-01-24,40.0,At Risk
C0431,2025-10-14,,,At Risk
C0431,2026-03-14,2025-10-14,151.0,At Risk
C0446,2025-01-10,,,At Risk
C0446,2025-02-16,2025-01-10,37.0,At Risk
C0446,2025-05-07,2025-02-16,80.0,At Risk
C0449,2025-04-22,,,At Risk
C0449,2025-05-03,2025-04-22,11.0,At Risk
C0449,2025-05-19,2025-05-03,16.0,At Risk
C0449,2025-11-02,2025-05-19,167.0,At Risk
C0454,2025-11-14,,,At Risk
C0454,2026-04-07,2025-11-14,144.0,At Risk
C0458,2026-07-22,,,Active
C0458,2026-07-22,2026-07-22,0.0,Active
C0461,2024-08-18,,,At Risk
C0461,2026-04-01,2024-08-18,591.0,At Risk
C0475,2024-11-17,,,At Risk
C0475,2025-11-28,2024-11-17,376.0,At Risk
C0488,2026-06-04,,,At Risk
C0488,2026-07-17,2026-06-04,43.0,At Risk
C0494,2024-09-16,,,At Risk
C0494,2024-10-30,2024-09-16,44.0,At Risk
C0494,2024-11-08,2024-10-30,9.0,At Risk
C0494,2025-02-24,2024-11-08,108.0,At Risk
C0494,2025-06-23,2025-02-24,119.0,At Risk
C0494,2025-07-24,2025-06-23,31.0,At Risk
C0494,2025-11-08,2025-07-24,107.0,At Risk
C0494,2026-03-26,2025-11-08,138.0,At Risk
