category,product_name,total_revenue,rank_in_category
Clothing,T-Shirt Meet,14040.85,55
Clothing,Jacket Understand,13948.75,56
Clothing,Shoes Nearly,13750.66,57
Clothing,Shoes Buy,13650.96,58
Clothing,Shoes Kitchen,13225.45,59
Clothing,T-Shirt I,13005.54,60
Clothing,Shoes Win,12925.42,61
Clothing,T-Shirt Trip,12886.65,62
Clothing,Shoes Police,12782.86,63
Clothing,Shirt Tend,12777.0,64
Clothing,Shoes After,12327.86,65
Clothing,Jeans The,11531.43,66
Clothing,Shirt Notice,11527.21,67
Clothing,Shoes Cause,11302.53,68
Clothing,T-Shirt Where,11222.94,69
Clothing,Shoes Bed,10314.91,70
Clothing,Shirt Authority,10243.26,71
Clothing,Shoes Much,9987.83,72
Clothing,Jeans Professional,9645.56,73
Clothing,Jacket Most,9638.2,74
Clothing,Jacket Necessary,9551.24,75
Clothing,Jeans Perform,9051.12,76
Clothing,Jacket Soldier,8528.03,77
Clothing,Jeans Trade,7863.44,78
Clothing,Shoes Summer,7843.14,79
Clothing,Jacket Care,7470.19,80
Clothing,Shoes Computer,7213.16,81
Clothing,Shirt Specific,7060.72,82
Clothing,Jeans Term,7021.65,83
Clothing,Shoes Conference,6661.74,84
Clothing,Jacket Strategy,6502.32,85
Clothing,Shirt Performance,6223.08,86
Clothing,Jacket Then,5583.73,87
Clothing,Jeans Receive,5014.74,88
Clothing,Jeans Should,4078.4,89
Clothing,T-Shirt Rich,3832.51,90
Clothing,Jeans Range,3545.94,91
Clothing,Jacket Animal,3490.24,92
Clothing,T-Shirt Compare,3248.83,93
Clothing,Jacket Degree,3199.17,94
Clothing,Shirt Two,3132.25,95
Clothing,Jeans Save,3097.3,96
Clothing,Jacket Recently,2896.92,97
Clothing,Jeans Maybe,2577.2,98
Clothing,T-Shirt Possible,2419.12,99
Clothing,Jeans Everything,2216.38,100
Clothing,Jacket Meet,1211.84,101
Clothing,Jacket Kind,906.48,102
Clothing,T-Shirt Either,844.57,103
Clothing,Jacket Hard,818.34,104
Clothing,T-Shirt Evening,-68.34,105
Clothing,Jeans Player,-2913.25,106
Clothing,T-Shirt Next,-3315.12,107
Clothing,Shirt Direction,-6273.16,108
Clothing,Jacket Hospital,-14163.18,109
Electronics,Headphones Sort,70362.62,1
Electronics,Keyboard Off,69320.18,2
Electronics,Monitor Sign,66499.34,3
Electronics,Phone Series,59077.56,4
Electronics,Keyboard Board,58522.93,5
Electronics,Laptop Her,57365.16,6
Electronics,Laptop Dog,55201.13,7
Electronics,Headphones Member,54264.35,8
Electronics,Headphones Over,52883.99,9
Electronics,Headphones Manager,51664.25,10
Electronics,Keyboard However,47792.21,11
Electronics,Headphones Discuss,47782.09,12
Electronics,Phone Challenge,41311.58,13
Electronics,Headphones Look,39391.03,14
Electronics,Monitor More,37689.75,15
Electronics,Keyboard Culture,37202.04,16
Electronics,Headphones Herself,36835.29,17
Electronics,Monitor Near,35703.29,18
Electronics,Keyboard Republican,34181.64,19
Electronics,Phone Develop,31809.88,20
Electronics,Laptop Us,30362.36,21
Electronics,Keyboard Less,30264.43,22
Electronics,Monitor Drug,29690.34,23
Electronics,Headphones Eye,29157.66,24
Electronics,Headphones East,28942.21,25
Electronics,Laptop Among,26958.28,26
Electronics,Keyboard Technology,26450.57,27
Electronics,Laptop Company,25496.13,28
Electronics,Headphones Strong,25363.84,29
Electronics,Keyboard Country,23750.28,30
Electronics,Keyboard Structure,23677.89,31
Electronics,Headphones Thing,23626.77,32
Electronics,Laptop Enter,22833.32,33
Electronics,Laptop Measure,22015.78,34
Electronics,Monitor Simply,21245.33,35
Electronics,Headphones Play,20262.34,36
Electronics,Monitor Themselves,19866.36,37
Electronics,Monitor Range,19526.65,38
Electronics,Headphones Recognize,19044.07,39
Electronics,Phone History,18829.39,40
Electronics,Headphones According,18009.07,41
Electronics,Headphones Child,16678.41,42
Electronics,Laptop By,16409.8,43
Electronics,Headphones Ball,15795.09,44
Electronics,Headphones My,15778.49,45
Electronics,Keyboard Coach,15706.13,46
Electronics,Phone Build,15245.79,47
Electronics,Headphones These,14582.66,48
Electronics,Keyboard Citizen,14463.26,49
Electronics,Phone Ready,14429.76,50
Electronics,Phone Receive,13781.65,51
Electronics,Keyboard Bank,13630.47,52
Electronics,Monitor Service,13503.8,53
Electronics,Headphones Amount,13431.32,54
Electronics,Keyboard Game,12940.09,55
Electronics,Monitor Whatever,12285.26,56
Electronics,Monitor Return,12171.19,57
Electronics,Monitor Nation,11586.48,58
Electronics,Headphones Any,11441.96,59
Electronics,Keyboard Join,11389.05,60
Electronics,Keyboard They,11302.55,61
Electronics,Laptop National,10928.4,62
Electronics,Phone Like,10847.39,63
Electronics,Laptop Whose,10138.44,64
Electronics,Keyboard Fast,9908.17,65
Electronics,Laptop Company,9865.52,66
Electronics,Keyboard Whatever,9568.59,67
Electronics,Phone Water,9396.32,68
Electronics,Keyboard Contain,9373.15,69
Electronics,Phone People,9061.7,70
Electronics,Laptop Sure,8815.56,71
Electronics,Phone Score,8734.3,72
Electronics,Keyboard Action,7859.23,73
Electronics,Monitor Collection,6769.45,74
Electronics,Monitor Relate,6505.91,75
Electronics,Keyboard At,6080.48,76
Electronics,Monitor Meet,5672.22,77
Electronics,Headphones High,4815.56,78
Electronics,Monitor Wrong,4792.66,79
Electronics,Headphones Others,4684.64,80
Electronics,Laptop Give,4461.61,81
Electronics,Headphones Design,4320.26,82
Electronics,Phone Hope,4038.84,83
Electronics,Phone Ready,3735.24,84
Electronics,Monitor Recent,3336.6,85
Electronics,Headphones Performance,3217.15,86
Electronics,Monitor Edge,3153.9,87
Electronics,Monitor Meet,3113.88,88
Electronics,Monitor Into,2984.73,89
Electronics,Laptop Everyone,2963.77,90
Electronics,Headphones Positive,1868.35,91
Electronics,Laptop Each,1732.64,92
Electronics,Monitor Name,976.31,93
Electronics,Keyboard However,868.81,94
Electronics,Keyboard Head,861.42,95
Electronics,Laptop Item,791.13,96
Electronics,Monitor Very,612.92,97
Electronics,Headphones Chair,499.08,98
Electronics,Monitor Question,293.37,99
Electronics,Monitor Others,191.27,100
Electronics,Phone And,173.62,101
Electronics,Laptop Message,-5492.42,102
Electronics,Phone Talk,-6258.27,103
Electronics,Phone Radio,-6732.43,104
Electronics,Headphones Property,-9695.05,105
Electronics,Headphones Drug,-15783.88,106
Electronics,Monitor Thus,-22102.57,107
Home,Table Accept,69896.99,1
Home,Mixer Environment,69113.84,2
Home,Mixer Benefit,64188.25,3
Home,Sofa Receive,54299.66,4
Home,Lamp Ground,53952.2,5
Home,Chair Certainly,44926.92,6
Home,Lamp Word,44748.89,7
Home,Lamp Under,43056.8,8
Home,Mixer Attack,42283.66,9
Home,Lamp Rise,41491.57,10
Home,Mixer Environment,41088.73,11
Home,Mixer Behavior,38877.91,12
Home,Sofa Plan,38803.79,13
Home,Sofa Real,38151.42,14
Home,Table Old,36550.2,15
Home,Sofa Simply,35788.79,16
Home,Table Drug,35433.29,17
Home,Chair Account,34191.24,18
Home,Lamp Institution,33709.35,19
Home,Lamp Area,33256.58,20
Home,Lamp Describe,32695.14,21
Home,Lamp Hospital,32463.14,22
Home,Table Both,32333.71,23
Home,Lamp If,32001.78,24
Home,Lamp History,30724.87,25
Home,Mixer Color,30706.85,26
Home,Lamp By,30317.92,27
Home,Lamp Institution,29822.93,28
Home,Chair Always,28569.05,29
Home,Chair Learn,28361.66,30
Home,Sofa Everyone,27808.71,31
Home,Lamp Clear,26933.49,32
Home,Lamp Small,26651.09,33
Home,Chair North,26492.92,34
Home,Chair Improve,25795.14,35
Home,Table Provide,25643.47,36
Home,Lamp Land,25296.82,37
Home,Mixer Early,24961.12,38
Home,Sofa Onto,24604.58,39
Home,Lamp Difficult,24452.58,40
Home,Table Large,24285.61,41
Home,Mixer Treat,23346.0,42
Home,Lamp Issue,22339.1,43
Home,Mixer Participant,22313.07,44
Home,Lamp Than,22245.93,45
Home,Mixer One,22234.19,46
Home,Sofa Base,21512.69,47
Home,Chair Strategy,21206.15,48
Home,Mixer Food,21110.62,49
Home,Mixer Oil,20545.83,50
Home,Mixer Even,20003.71,51
Home,Mixer Top,20003.3,52
Home,Mixer Country,19825.93,53
Home,Sofa Space,19355.79,54
Home,Mixer Because,17924.01,55
Home,Chair College,17830.1,56
Home,Mixer Population,17637.39,57
Home,Mixer Current,16624.52,58
Home,Chair Staff,16332.04,59
Home,Chair How,16209.67,60
Home,Chair Doctor,15595.01,61
Home,Sofa Information,15491.05,62
Home,Sofa Nature,15354.25,63
Home,Sofa High,15177.48,64
Home,Table Issue,13880.71,65
Home,Lamp Step,13337.41,66
Home,Sofa Reach,13217.21,67
Home,Table Market,13099.64,68
Home,Sofa Accept,11882.88,69
Home,Sofa Account,11779.13,70
Home,Sofa Season,11223.81,71
Home,Table Same,10762.95,72
Home,Table Of,10287.63,73
Home,Chair Same,10097.37,74
Home,Mixer Check,9788.95,75
Home,Lamp Town,9664.28,76
Home,Lamp Participant,9123.52,77
Home,Sofa Necessary,8607.29,78
Home,Lamp Black,8548.46,79
Home,Mixer Last,8465.57,80
Home,Chair Billion,8068.41,81
Home,Lamp Summer,7941.79,82
Home,Mixer Center,7074.46,83
Home,Lamp Scene,6973.28,84
Home,Lamp Job,6915.98,85
Home,Mixer Third,6626.97,86
Home,Table Federal,6255.37,87
Home,Mixer Stock,5652.04,88
Home,Mixer Suddenly,5522.65,89
Home,Table Someone,5407.51,90
Home,Table Guy,5179.18,91
Home,Table Security,4890.46,92
Home,Lamp Hospital,4145.28,93
Home,Sofa Other,4124.52,94
Home,Mixer Return,3383.44,95
Home,Sofa Whatever,2658.65,96
Home,Lamp Industry,2487.36,97
Home,Mixer Environmental,2096.14,98
Home,Chair Site,1880.23,99
Home,Lamp Meeting,1791.0,100
Home,Lamp Likely,871.44,101
Home,Lamp Operation,782.0,102
Home,Sofa Every,423.23,103
Home,Lamp Politics,-1139.02,104
